"","id","identification","molecule","forme","couleur","pourcentage","coupe","presencecoupe","paracetamol","X6MAM","noscapine","cafeine","levamisole","phenacetine","hydroxyzine","lidocaine","procaine","papaverine","dextrometorphane","morphine","comprime","date","topic_id","date_rendu","provenance","molecule_correct","molecule_simp","famille"
"29",2641,"PSY24866","6-APB","Poudre","Blanc","23","Nous avons bien détecté du 6-APB, cependant nous avons également analysé trois éléments non identifiés, nous envisageons donc un envoi SINTES. Est-ce que la personne accepterait de donner des informations sur le produit, sa provenance, son prix, les effets ressentis, et accepte-t-elle un envoi SINTES?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-14,0,1727290141,"Boutique en ligne","6-APB","6-APB",NA
"30",1830,"PSYCHO254176","2C-B","Cristal","Blanche ","83","2CB détecté. Nous ne réalisons pas la quantification.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-04-08,0,1691016543,"Boutique en ligne","2C-B","2C-B","Hallucinogènes"
"31",1503,"PSY253842","MDMA","Poudre","Blanc","91","Nous avons identifié de la MDMA à 29.3% base, et en convertissant 34.8% équivalent chlorhydrate.
Il y a donc 153.3mg de MDMA dans un comprimé de 440.5mg.
Nos méthodes ont une marge d'incertitude de 10%.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-16,0,1744807743,"Deep web / dark web","MDMA","MDMA","MDMA"
"32",934,"RDRAD241500","Héroïne","Cristal","blanc","0","Héroïne 41% 
6MAM 39% 
Morphine 4%
Noscapine 1%",1,52,0,0,6,0,0,0,0,0,0,0,0,0,2025-03-06,0,1716576542,"Livreur","Héroïne","Héroïne","Héroïne"
"33",2892,"PSY23682","Speed (amphétamine)","Poudre","Blanc","2-MMC 72% base","Alpha-phénylethylamine: NQ
Caféine: 80%
Amphétamine: traces
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-09-17,77140,1689943742,"Deep web / dark web","Speed (amphétamine)","Speed","Speed"
"34",1432,"RDRAD23577","2C-B","Poudre","","LSD","Nous avons détecté des traces de 2C-B et quelques pics qui peuvent être des éléments non identfiés ou des artefacts. Mais surtout nous avons identifié un grand pic qui semble être de la N-butylhexedrone, une cathinone de synthèse, nous aimerions l'envoyer à SINTES pour confirmation car les molécules de cette famille sont très proches les unes des autres et il est difficile de les différencier parfaitement en HPLC-DAD.",0,0,0,0,0,0,0,0,0,0,0,0,0,274,2024-03-11,0,1748976542,"Deep web / dark web","2C-B","2C-B","Hallucinogènes"
"35",1244,"PSY23445","Speed (amphétamine)","Cristal","rose","85","Dans cet échantillon, nous avons détecté et quantifié de l'amphétamine à 26.9% équivalent base et de la caféine à 68.2%, avec une incertitude de 10% sur les mesures.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-04-14,0,1723553342,"Deep web / dark web","Speed (amphétamine)","Speed","Speed"
"36",3166,"PSY241741","Speed (amphétamine)","Poudre","blanc","0","Amphétamine 74% équivalent base soit 100,8% équivalent sel (sulfate).
Nos résultats sont rendus avec une incertitude de +/- 10%. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-04-06,0,1747162143,"Dealer en soirée","Speed (amphétamine)","Speed","Speed"
"37",2392,"RDRAD241286","2C-B","Buvard / Micropointe","Blanche","8","Il s'agit bien de 2C-B sans autre molécule active détectée. Nous venons de commander le standard de 2C-B, nous serons donc bientôt en mesure de quantifier le 2C-B.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-03-21,0,1748544542,"Deep web / dark web","2C-B","2C-B","Hallucinogènes"
"38",1903,"PSYCHOACTIF2023011","methamphetamine","Poudre","blanc","0","Nous avons bien identifié de la méthamphétamine. Nous le laissons de côté car notre méthode de quantification de la méthamphétamine est en cours d'aboutissement et nous essaierons de quantifier cette méthamphétamine la semaine prochaine.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-25,0,1732650541,"Deep web / dark web","Méthamphétamine","Méthamphétamine","Amphétamines"
"39",1614,"RDRAD253660","LSD","Poudre","Blanc","0","Nous avons détecté de multiples composés dans ce buvard de LSD qui peuvent être potentiellement dû à de la contamination, mais nous nous interrogeons sur le nombre de composés retrouvés. Nous avons identifié du LSD, mais également des traces de caféine, MDMA, DMT, amphétamine, kétamine, ainsi que deux éléments non identifiés. Pensez-vous qu'il y a un intérêt à l'envoyer à SINTES ou est-ce probablement juste de la contamination?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-27,78890,1734551342,"Dealer de rue (four)","LSD","LSD","Hallucinogènes"
"40",1743,"PSY243084","Héroïne","Poudre","blanc","70","Héroïne 1% - Caféine 30% - Paracétamol 56% - 6-MAM 2% - Noscapine 2%",0,37,0,0,27,0,0,0,0,0,0,0,0,0,2024-04-09,0,1743706142,"Livreur","Héroïne","Héroïne","Héroïne"
"41",1855,"PSY242464","Kétamine","comprimé","","NQ","Nous n'avons pas détecté de kétamine, par contre nous avons identifié de la MDMA à 98% équivalent chlorhydrate avec une marge d'incertitude de 10%.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-28,0,1720032553,"Réseaux sociaux en ligne","Kétamine","Kétamine","Kétamine"
"42",1125,"PSY242564","Morphine","Herbe","Blanche","THC 51%, CBD 1%, CBG 7%, CBN <1%, CBC <1%","Dans cet échantillon, nous avons identifié de la morphine à environ 2.5g/L.
Nous utilisons des petits volumes et des dilutions donc le volume calculé est approximatif.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-24,0,1716554942,"Deep web / dark web","Morphine","Morphine","Opioïdes"
"43",2230,"PSY23155","3-MMC","Poudre","Blanc grisâtre","37","Dans cet échantillon nous n'avons pas détecté de 3-MMC, par contre nous avons identifié de la 3-CMC à 89.5% équivalent chlorhydrate avec une marge d'incertitude de 10%.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-28,0,1708696142,"Livreur","3-MMC","3-MMC","Cathinones"
"44",1409,"RDRAD24899","3-MMC","Poudre","blanc","0","Dans cet échantillon nous avons bien identifié de la 3-MMC à 87.1% base (soit 105% équivalent chlorhydrate) avec une incertitude de 10% sur la teneur.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-12-18,0,1731412142,"Deep web / dark web","3-MMC","3-MMC","Cathinones"
"45",169,"PSY242751","3-MMC","Poudre","blanc","3-MMA","Dans cet échantillon nous avons identifié de la 3-CMC à 75.1% équivalent chlorhydrate, mais pas détecté de 3-MMC. Depuis l'été 2022, les échantillons de 3-MMC ne sont plus que rarement de la 3-MMC et sont de plus en plus remplacés par de la 3-CMC ou de temps en temps d'autres cathinones.
Nos résultats sont donnés avec une incertitude de 10%.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-20,0,1720778690,"Réseaux sociaux en ligne","3-MMC","3-MMC","Cathinones"
"46",288,"PSY241570","Héroïne","Poudre","","Codéine 24.6%","Héroïne 46,03%
Caféine 9,56%
6-MAM 8,6%
Noscapine 15,6%
Morphine 3,5%
Nos résultats sont rendus avec une incertitude de +/- 10%",1,16,0,0,52,0,0,0,0,0,0,1,0,0,2024-08-30,0,0,"Réseaux sociaux en ligne","Héroïne","Héroïne","Héroïne"
"47",2839,"RDRAD241070","Héroïne","","orange pastel","5","Héroïne 71%
Morphine 2%
6MAM 3%

profil atypique !",1,0,0,0,17,0,0,0,0,0,0,0,0,0,2024-12-16,80417,1726836542,"Réseaux sociaux en ligne","Héroïne","Héroïne","Héroïne"
"48",1183,"PSY242336","2-MMC","Poudre","blanc","4","il ne s'agit pas de 3MMC mais d'un isomère, la 2MMC
Pour information, les échantillons présentés comme de la 3MMC qui nous parviennent contiennent rarement de la 3MMC (habituellement nous voyons de la 3CMC, plus rarement de la 2MMC et encore plus rarement d'autres cathinones)",0,0,0,0,0,0,0,0,0,0,0,0,0,132,2025-03-04,0,1703857742,"Livreur","2-MMC","2-MMC","Cathinones"
"49",791,"PSY24791","3-CMC","Poudre","transparent / cristal","THC 80%","ATTENTION, la masse de produit que nous avons reçue était faible ce qui augmente l'incertitude sur la teneur annoncée (habituellement nous annonçons +/-10% d'incertitude sur notre mesure)
Pour information nous détectons aussi de manière très minoritaire un second pic qui est quasi-systématiquement présent dans les échantillons de 3CMC, ce second pic est en cours d'identification par un laboratoire partenaire (nous avons envoyé plusieurs échantillons pour tenter d'élucider ce mystère)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-21,0,1723553342,"Livreur","3-CMC","3-CMC","Cathinones"
"50",415,"PSY23682","Speed (amphétamine)","Buvard / Micropointe","marron","80","Amphétamine 65% (base)
Caféine 9% ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-02-26,0,1721213342,"Dealer de rue (four)","Speed (amphétamine)","Speed","Speed"
"51",446,"PSY242648","Speed (amphétamine)","Herbe","gris","NQ","Dans cet échantillon nous avons détecté et quantifié de l'amphétamine à 63.3% équivalent base avec une incertitude de 10%.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-05-23,0,1702338542,"","Speed (amphétamine)","Speed","Speed"
"52",1763,"PSY241766","3-MMC","Poudre","Jaune","39","Dans cet échantillon, nous avons détecté et identifié un mélange de 2MMC et de 3MMC. Ces deux molécules ayant un temps de rétention très proche avec notre méthode, les deux pics étaient collés, il s'agit donc d'une teneur de 3MMC sous estimée et approximative. Nous ne quantifions pas la 2MMC.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-12,0,1689943742,"Boutique en ligne","3-MMC","3-MMC","Cathinones"
"53",1190,"PSY253914","MDMA","Cristal","blanc/translucide","méthamphétamine 63.1% équivalent base","Dans cet échantillon, nous avons détecté et identifié de la MDMA à 42.5% base, soit 50.5% équivalent chlorhydrate, ce qui équivaut à 252.1mg de MDMA dans un comprimé de 499.2mg. C'est bien au-dessus de la quantité de MDMA qu'on trouve habituellement dans un comprimé (notre moyenne est entre 130 et 150mg). Nos résultats quantificatifs ont une marge d'erreur de 10%.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-22,74601,1744980541,"","MDMA","MDMA","MDMA"
"54",1519,"PSYCHO23351","Cocaïne","Poudre","","4","Dans cet échantillon nous avons détecté et identifié de la cocaïne à 70.4% base, soit 78.9% équivalent chlorhydrate.",0,0,0,0,0,0,0,0,0,0,0,0,0,13,2024-08-07,0,1700833742,"Deep web / dark web","Cocaïne","Cocaïne","Cocaïne"
"55",1608,"RDRAD253462","3-MMC","","Blanc","77","Dans cet échantillon nous avons détecté et identifié de la 2-MMC, une autre cathinone régulièrement retrouvée à la place de la 3-MMC depuis quelques semaines.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-05-29,0,1711460942,"Deep web / dark web","3-MMC","3-MMC","Cathinones"
"56",3034,"PSY242927","3-MMC","Poudre","","44","Dans cet échantillon, nous avons détecté et identifié de la 3-MMC à 86.3% base, soit 104% équivalent chlorhydrate. Nos résultats quantitatifs sont rendus avec une incertitude de 10%.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-06-22,0,1733428141,"Deep web / dark web","3-MMC","3-MMC","Cathinones"
"57",1252,"PSY242232","3-MMC","Poudre","Blanche","NQ","Dans cet échantillon, nous avons détecté et identifié de la 2-MMC à la place de la 3-MMC. Il s'agit d'une autre cathinone qu'on retrouve beaucoup ces derniers temps en remplacement de la 3-MMC.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-03-07,0,1737467342,"Réseaux sociaux en ligne","3-MMC","3-MMC","Cathinones"
"58",470,"PSY241477","MDMA","comprimé","BLANC","85","Nous avons détecté et identifié de la MDMA à 22.8% équivalent base, soit 27.1% équivalent chlorhydrate. Cette teneur correspond à 144.5mg de MDMA dans un comprimé de 533.3mg. Nos résultats quantitatifs sont à prendre avec 10% d'incertitude.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-03-18,0,1712270942,"Boutique en ligne","MDMA","MDMA","MDMA"
"59",313,"PSY254121","4-MMC","Poudre","Blanche ","0","Dans cet échantillon, nous avons détecté et identifié de la 4-MMC, et nous détectons deux éléments non identifiés en dessous de notre seuil de détection, nous allons donc repasser de la poudre la semaine prochaine en plus concentré pour voir si nous pouvons les identifier et s'ils sont encore là.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-09-13,0,1718117385,"Réseaux sociaux en ligne","4-MMC (mephedrone)","4-MMC (mephedrone)","Cathinones"
"60",467,"PSY241849","Cocaïne","Cristal","marron clair","47","Dans cet échantillon nous avons détecté et identifié de la cocaïne à 70.4% équivalent base, soit 78.9% équivalent chlorhydrate. Nos résultats quantitatifs sont à prendre en compte avec une incertitude de 10%.

Pour information, le tube était ouvert dans l'enveloppe et le petit sachet plastique était arraché, donc une grosse partie était tombée dans l'enveloppe, nous avons récupéré ce que nous avons pu récupérer.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-04-23,0,1718031809,"","Cocaïne","Cocaïne","Cocaïne"
"61",2813,"RDRADISTANCE23397","3-MMC","comprimé","Blanchatre","","Nous avons détecté de la 3MMC dans cet échantillon à hauteur de 83,54% eq base soit 100,7% eq chlorhydrate
toutes nos analyses sont soumises à une incertitude sur la valeur chiffrée de +/-10%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-16,0,1737553742,"Dealer de rue (four)","3-MMC","3-MMC","Cathinones"
"62",1494,"PSY242942","Ecstasy (MDMA)","Poudre","blanc","NQ","Le comprimé pesait 262,5mg
Nous y détectons 22,81% de MDMA eq base, soit 27,1% eq chlorhydrate, soit 71mg de chlorhydrate de MDMA par comprimé
toutes nos analyses sont soumises à une incertitude sur la valeur chiffrée de +/-10%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-06-07,0,1733874542,"Deep web / dark web","Ecstasy (MDMA)","MDMA","MDMA"
"63",977,"PSY243139","MDMA","","jaune","","Nous détectons de la MDMA dans cet échantillon, dosée à 84,95% eq base soit 101% eq chlorhydrate
toutes nos analyses sont soumises à une incertitude sur la valeur chiffrée de +/-10%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-19,0,1747651742,"Deep web / dark web","MDMA","MDMA","MDMA"
"64",1407,"PSY241739","Kétamine","Poudre","vert","NQ","Nous détectons de la kétamine, dosée à 87%eq base, soit 100%eq chlorhyrate
Nos analyses quantitatives sont rendues avec une incertitude sur la mesure de 10% sur la valeur chiffrée",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-22,0,1726685342,"Deep web / dark web","Kétamine","Kétamine","Kétamine"
"65",1861,"RDRADISTANCE23393","Kétamine","Cristal","blanche","","Nous détectons bien de la kétamine dans cet échantillon
dosée à 77%eq base, soit 89%eq chlorhydrate
Pour information, nos mesures sont données avec une incertitude de 10% sur la valeur",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-31,0,1730375342,"Deep web / dark web","Kétamine","Kétamine","Kétamine"
"66",2728,"PSY23187","4-MMC","Cristal","rose","15","Nous détectons bien de la 4MMC dans l'échantillon, molécule que nous ne quantifions pas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-12-26,0,1729190942,"Deep web / dark web","4-MMC (mephedrone)","4-MMC (mephedrone)","Cathinones"
"67",935,"PSY243119","o-pce","Poudre","Blanche","79","Nous détectons bien de l'O-PCE dans l'échantillon
molécule que nous ne quantifions pas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-20,0,1712616541,"","o-pce","2-Oxo-PCE","Dissociatifs"
"68",955,"PSY24835","3-MMC","Cristal","Blanc","THC <1%, CBD 12%, CBG 5%, CBC 6%","Dans cet échantillon nous avons détecté et quantifié de la 3-CMC à 92.5% équivalent chlorhydrate. Nos résultats quantitatifs sont donnés avec une incertitude de 10%.
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-01-20,0,0,"Dealer de rue (four)","3-MMC","3-MMC","Cathinones"
"69",188,"PSY241446","4-MMC","Résine","blanc +/- translucide","90","Dans cet échantillon, nous avons détecté et identifié de la N-butylhexedrone et de la N,N-dimethylpentylone (DMBDP). Il s'agit de deux autres cathinones en mélange.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-10,0,1687819741,"Livreur","4-MMC (mephedrone)","4-MMC (mephedrone)","Cathinones"
"70",619,"PSY254078","Kétamine","Cristal","Gris Punisher","9","Dans cet échantillon, nous avons détecté et quantifié de la kétamine à 78.7% équivalent base, soit 90.8% équivalent chlorhydrate. Nos résultats quantitatifs sont donnés avec une incertitude de 10%.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-27,0,1726685342,"Dealer de rue (four)","Kétamine","Kétamine","Kétamine"
"71",2277,"PSY241977","3-MMC","Poudre","","0","Dans cet échantillon, nous avons détecté et quantifié de la 3-CMC à 85.4% équivalent chlorhydrate. Nos résultats quantitatifs sont donnés avec une incertitude de 10%.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-05-21,0,1744656543,"Deep web / dark web","3-MMC","3-MMC","Cathinones"
